moviename,sales,attendance,budget
신과함께,102666146909.0,12274996.0,40000000000.0
암살,98463132781.0,12705700.0,18000000000.0
도둑들,93664808500.0,12983178.0,11500000000.0
설국열차,67010087500.0,9349993.0,43700000000.0
해적,66370682706.0,8666046.0,13400000000.0
베를린,52355568637.0,7166290.0,11000000000.0
군함도,50500000000.0,6592151.0,33000000000.0
디워,49339934700.0,7855441.0,30000000000.0
완벽한 타인,44350807074.0,5293435.0,3800000000.0
좋은놈 나쁜놈 이상한놈,43747552000.0,6684933.0,17400000000.0
독전,43485551113.0,5063684.0,8300000000.0
암수살인,32995138548.0,3789321.0,5000000000.0
탐정: 리턴즈,26909459678.0,3152872.0,5000000000.0
말모이,23685091520.0,2812877.0,11000000000.0
너의 결혼식,23676244369.0,2820969.0,3000000000.0
타워,22996601500.0,3166425.0,12000000000.0
고지전,21968557600.0,2945137.0,11000000000.0
목격자,21737061097.0,2524720.0,4500000000.0
곤지암,21442194144.0,2675575.0,1100000000.0
7광구,19391653500.0,2242510.0,10000000000.0
태풍,19372557600.0,3035086.0,20000000000.0
태극기 휘날리며,15687180500.0,2544911.0,14800000000.0
뺑반,15224305848.0,1826912.0,12400000000.0
대호,12104808332.0,1584168.0,17000000000.0
리틀 포레스트,11900000000.0,1506269.0,1500000000.0
마이웨이,11813839000.0,1586042.0,28000000000.0
미스터고,9337976000.0,1328888.0,22000000000.0
"그날, 바다",4446000528.0,540631.0,900000000.0
우상,1581839728.0,183784.0,10000000000.0
자전차왕 엄복동,1304861670.0,172212.0,15000000000.0
