moviename,openingdate,sales,attendance,screen,playcount,country,country_label,distributor,distributor_label,director,actor,filmrank,filmrank_label,openingmonth
검은 사제들,2015-11-05,42405282092,5442128,1109,131155,domestic,0,major_domestic,0,5442128,2,PG 15,0,11
곤지암,2018-03-28,21442194144,2675575,1124,88477,domestic,0,major_domestic,0,2675575,3,PG 15,0,3
컨저링,2013-09-17,16353225777,2262758,563,48616,abroad,1,major_abroad,1,2262758,3,PG 15,0,9
컨저링 2,2016-06-09,15759374229,1928605,640,45816,abroad,1,major_abroad,1,1825151,3,PG 15,0,6
애나벨 : 인형의 주인,2017-08-10,15527492238,1934270,1006,35103,abroad,1,major_abroad,1,1234282,3,PG 15,0,8
변신,2019-08-21,15417922925,1804112,975,63211,domestic,0,etc_distributor,2,1804112,2,PG 15,0,8
23 아이덴티티,2017-02-22,13609648135,1675819,952,44104,abroad,1,major_abroad,1,1012844,2,PG 15,0,2
블랙 스완,2011-02-24,12484661500,1623310,344,46840,abroad,1,etc_distributor,2,1623310,3,X_rated,3,2
해피 데스데이,2017-11-08,11004455402,1382650,714,52101,abroad,1,major_abroad,1,1382650,2,X_rated,3,11
라이트 아웃,2016-08-24,8893059975,1111284,659,34444,abroad,1,major_abroad,1,1234282,3,PG 15,0,8
더 넌,2018-09-19,8777844795,1011580,824,32736,abroad,1,major_abroad,1,1011580,3,PG 15,0,9
더 웹툰: 예고살인,2013-06-27,8537683070,1201457,541,35931,domestic,0,major_domestic,0,1201457,2,PG 15,0,6
애나벨,2014-10-02,7083492943,926027,464,29000,abroad,1,major_abroad,1,926027,2,PG 15,0,10
인시디어스 3,2015-07-09,6396650620,825517,416,20824,abroad,1,major_abroad,1,700280,3,PG 15,0,7
미확인 동영상 : 절대클릭금지,2012-05-30,5939840500,867386,361,25059,domestic,0,major_domestic,0,867386,3,PG 15,0,5
고死 두 번째 이야기: 교생실습,2010-07-28,5802318000,857038,313,23307,domestic,0,major_domestic,0,857038,3,PG 15,0,7
피라냐,2010-08-26,5661671000,505836,310,22744,abroad,1,etc_distributor,2,505836,3,PG 15,0,8
화이트: 저주의 멜로디,2011-06-09,5587166000,790954,311,28059,domestic,0,major_domestic,0,561357,3,PG 15,0,6
인비저블맨,2020-02-26,5015895060,575043,776,63076,abroad,1,major_abroad,1,700280,1,PG 15,0,2
사냥,2016-06-29,4912658515,645922,696,28862,domestic,0,major_domestic,0,645922,3,X_rated,3,6
고양이: 죽음을 보는 두 개의 눈,2011-07-07,4780502000,672314,304,18972,domestic,0,major_domestic,0,672314,3,PG 15,0,7
47 미터,2017-07-19,4686079657,590045,733,20457,abroad,1,etc_distributor,2,545989,3,PG 15,0,7
인시디어스4: 라스트 키,2018-01-31,4301309864,554521,769,23869,abroad,1,etc_distributor,2,558817,3,PG 15,0,1
인시디어스: 두번째 집,2013-12-05,4001137000,577748,405,18653,abroad,1,major_abroad,1,1825151,3,PG 15,0,12
애나벨 집으로,2019-06-26,3993147140,481766,653,16619,abroad,1,major_abroad,1,481766,3,PG 15,0,6
47미터 2,2019-08-28,3846315153,501934,649,24027,abroad,1,etc_distributor,2,545989,3,PG 15,0,8
카운트다운,2011-09-29,3630557000,471547,341,20958,domestic,0,major_domestic,0,471547,3,PG 15,0,9
해피 데스데이 2 유,2019-02-14,3437809200,412850,657,18254,abroad,1,major_abroad,1,232331,3,PG 15,0,2
무서운 이야기 2,2013-06-05,3393667500,495522,337,18509,domestic,0,major_domestic,0,379411,3,PG 15,0,6
파라노말 액티비티,2010-01-13,3207923500,438402,184,17015,abroad,1,major_domestic,0,398427,2,PG 15,0,1
주온 : 끝의 시작,2014-07-16,3071127231,410644,394,15339,abroad,1,major_domestic,0,410644,2,PG 15,0,7
트루스 오어 데어,2018-05-22,2647330400,310956,530,17066,abroad,1,major_abroad,1,310956,3,PG 15,0,5
위자: 저주의 시작,2016-11-09,2637517406,331877,467,15660,abroad,1,major_abroad,1,331877,3,PG 12,1,11
파라노말 액티비티 2,2010-10-21,2575677000,358453,196,13647,abroad,1,major_domestic,0,398427,2,PG 15,0,10
런,2020-11-20,2560441600,278819,799,38957,abroad,1,etc_distributor,2,278819,2,PG 15,0,11
무서운 이야기,2012-07-25,2452368566,331760,274,10268,domestic,0,major_domestic,0,561357,3,PG 15,0,7
파이널 데스티네이션5,2011-09-08,2370348500,257193,168,9325,abroad,1,major_abroad,1,1167945,3,X_rated,3,9
혼숨,2016-10-26,2258422445,288016,498,14510,domestic,0,etc_distributor,2,288016,2,PG 15,0,10
울프맨,2010-02-11,2062933500,265409,263,13920,abroad,1,major_abroad,1,389859,3,X_rated,3,2
기기괴괴 성형수,2020-09-09,873204560,103426,276,13517,domestic,0,etc_distributor,2,103426,3,PG 15,0,9
호텔 레이크,2020-04-29,598748200,71324,465,9682,domestic,0,etc_distributor,2,71324,3,PG 15,0,4
